Model,Feature_Set,Configuration,Fold,Accuracy
DecisionTree,All features,max_depth=None,1,0.6063829787234043
DecisionTree,All features,max_depth=None,2,0.5698924731182796
DecisionTree,All features,max_depth=None,3,0.5161290322580645
DecisionTree,All features,max_depth=None,4,0.45161290322580644
DecisionTree,All features,max_depth=None,5,0.6236559139784946
DecisionTree,All features,max_depth=3,1,0.5638297872340425
DecisionTree,All features,max_depth=3,2,0.4731182795698925
DecisionTree,All features,max_depth=3,3,0.5053763440860215
DecisionTree,All features,max_depth=3,4,0.5161290322580645
DecisionTree,All features,max_depth=3,5,0.5806451612903226
DecisionTree,All features,max_depth=5,1,0.574468085106383
DecisionTree,All features,max_depth=5,2,0.5161290322580645
DecisionTree,All features,max_depth=5,3,0.5161290322580645
DecisionTree,All features,max_depth=5,4,0.4838709677419355
DecisionTree,All features,max_depth=5,5,0.6129032258064516
DecisionTree,All features,max_depth=10,1,0.5957446808510638
DecisionTree,All features,max_depth=10,2,0.5591397849462365
DecisionTree,All features,max_depth=10,3,0.5053763440860215
DecisionTree,All features,max_depth=10,4,0.4731182795698925
DecisionTree,All features,max_depth=10,5,0.6236559139784946
NaiveBayes,All features,var_smoothing=1e-09,1,0.648936170212766
NaiveBayes,All features,var_smoothing=1e-09,2,0.43010752688172044
NaiveBayes,All features,var_smoothing=1e-09,3,0.5268817204301075
NaiveBayes,All features,var_smoothing=1e-09,4,0.2903225806451613
NaiveBayes,All features,var_smoothing=1e-09,5,0.6129032258064516
NaiveBayes,All features,var_smoothing=1e-08,1,0.648936170212766
NaiveBayes,All features,var_smoothing=1e-08,2,0.4731182795698925
NaiveBayes,All features,var_smoothing=1e-08,3,0.5268817204301075
NaiveBayes,All features,var_smoothing=1e-08,4,0.34408602150537637
NaiveBayes,All features,var_smoothing=1e-08,5,0.6129032258064516
NaiveBayes,All features,var_smoothing=1e-07,1,0.648936170212766
NaiveBayes,All features,var_smoothing=1e-07,2,0.5376344086021505
NaiveBayes,All features,var_smoothing=1e-07,3,0.5806451612903226
NaiveBayes,All features,var_smoothing=1e-07,4,0.3978494623655914
NaiveBayes,All features,var_smoothing=1e-07,5,0.6129032258064516
NaiveBayes,All features,var_smoothing=1e-06,1,0.648936170212766
NaiveBayes,All features,var_smoothing=1e-06,2,0.5698924731182796
NaiveBayes,All features,var_smoothing=1e-06,3,0.6021505376344086
NaiveBayes,All features,var_smoothing=1e-06,4,0.40860215053763443
NaiveBayes,All features,var_smoothing=1e-06,5,0.6129032258064516
KNN,All features,k=3,1,0.48936170212765956
KNN,All features,k=3,2,0.5268817204301075
KNN,All features,k=3,3,0.46236559139784944
KNN,All features,k=3,4,0.46236559139784944
KNN,All features,k=3,5,0.5483870967741935
KNN,All features,k=5,1,0.5
KNN,All features,k=5,2,0.46236559139784944
KNN,All features,k=5,3,0.44086021505376344
KNN,All features,k=5,4,0.5161290322580645
KNN,All features,k=5,5,0.5806451612903226
KNN,All features,k=7,1,0.5212765957446809
KNN,All features,k=7,2,0.4731182795698925
KNN,All features,k=7,3,0.43010752688172044
KNN,All features,k=7,4,0.5053763440860215
KNN,All features,k=7,5,0.6021505376344086
KNN,All features,k=9,1,0.5106382978723404
KNN,All features,k=9,2,0.5161290322580645
KNN,All features,k=9,3,0.41935483870967744
KNN,All features,k=9,4,0.5053763440860215
KNN,All features,k=9,5,0.6021505376344086
Voting,All features,hard_voting,1,0.5957446808510638
Voting,All features,hard_voting,2,0.5268817204301075
Voting,All features,hard_voting,3,0.5268817204301075
Voting,All features,hard_voting,4,0.5053763440860215
Voting,All features,hard_voting,5,0.6344086021505376
Bagging,All features,n_estimators=10,1,0.5851063829787234
Bagging,All features,n_estimators=10,2,0.5913978494623656
Bagging,All features,n_estimators=10,3,0.45161290322580644
Bagging,All features,n_estimators=10,4,0.5268817204301075
Bagging,All features,n_estimators=10,5,0.5913978494623656
Bagging,All features,n_estimators=50,1,0.5531914893617021
Bagging,All features,n_estimators=50,2,0.5698924731182796
Bagging,All features,n_estimators=50,3,0.5376344086021505
Bagging,All features,n_estimators=50,4,0.5698924731182796
Bagging,All features,n_estimators=50,5,0.5698924731182796
Bagging,All features,n_estimators=100,1,0.5851063829787234
Bagging,All features,n_estimators=100,2,0.5913978494623656
Bagging,All features,n_estimators=100,3,0.5161290322580645
Bagging,All features,n_estimators=100,4,0.5161290322580645
Bagging,All features,n_estimators=100,5,0.6021505376344086
Stacking,All features,default,1,0.648936170212766
Stacking,All features,default,2,0.5376344086021505
Stacking,All features,default,3,0.5268817204301075
Stacking,All features,default,4,0.5376344086021505
Stacking,All features,default,5,0.6129032258064516
DecisionTree,No Gender,max_depth=None,1,0.6170212765957447
DecisionTree,No Gender,max_depth=None,2,0.5698924731182796
DecisionTree,No Gender,max_depth=None,3,0.5591397849462365
DecisionTree,No Gender,max_depth=None,4,0.46236559139784944
DecisionTree,No Gender,max_depth=None,5,0.5806451612903226
DecisionTree,No Gender,max_depth=3,1,0.5638297872340425
DecisionTree,No Gender,max_depth=3,2,0.4731182795698925
DecisionTree,No Gender,max_depth=3,3,0.5161290322580645
DecisionTree,No Gender,max_depth=3,4,0.5161290322580645
DecisionTree,No Gender,max_depth=3,5,0.5806451612903226
DecisionTree,No Gender,max_depth=5,1,0.6382978723404256
DecisionTree,No Gender,max_depth=5,2,0.5376344086021505
DecisionTree,No Gender,max_depth=5,3,0.5268817204301075
DecisionTree,No Gender,max_depth=5,4,0.4946236559139785
DecisionTree,No Gender,max_depth=5,5,0.6236559139784946
DecisionTree,No Gender,max_depth=10,1,0.6170212765957447
DecisionTree,No Gender,max_depth=10,2,0.5376344086021505
DecisionTree,No Gender,max_depth=10,3,0.5053763440860215
DecisionTree,No Gender,max_depth=10,4,0.5053763440860215
DecisionTree,No Gender,max_depth=10,5,0.6021505376344086
NaiveBayes,No Gender,var_smoothing=1e-09,1,0.648936170212766
NaiveBayes,No Gender,var_smoothing=1e-09,2,0.41935483870967744
NaiveBayes,No Gender,var_smoothing=1e-09,3,0.5268817204301075
NaiveBayes,No Gender,var_smoothing=1e-09,4,0.27956989247311825
NaiveBayes,No Gender,var_smoothing=1e-09,5,0.6021505376344086
NaiveBayes,No Gender,var_smoothing=1e-08,1,0.648936170212766
NaiveBayes,No Gender,var_smoothing=1e-08,2,0.4838709677419355
NaiveBayes,No Gender,var_smoothing=1e-08,3,0.5376344086021505
NaiveBayes,No Gender,var_smoothing=1e-08,4,0.3333333333333333
NaiveBayes,No Gender,var_smoothing=1e-08,5,0.6021505376344086
NaiveBayes,No Gender,var_smoothing=1e-07,1,0.648936170212766
NaiveBayes,No Gender,var_smoothing=1e-07,2,0.5268817204301075
NaiveBayes,No Gender,var_smoothing=1e-07,3,0.5591397849462365
NaiveBayes,No Gender,var_smoothing=1e-07,4,0.3978494623655914
NaiveBayes,No Gender,var_smoothing=1e-07,5,0.6021505376344086
NaiveBayes,No Gender,var_smoothing=1e-06,1,0.648936170212766
NaiveBayes,No Gender,var_smoothing=1e-06,2,0.5591397849462365
NaiveBayes,No Gender,var_smoothing=1e-06,3,0.5913978494623656
NaiveBayes,No Gender,var_smoothing=1e-06,4,0.40860215053763443
NaiveBayes,No Gender,var_smoothing=1e-06,5,0.6021505376344086
KNN,No Gender,k=3,1,0.48936170212765956
KNN,No Gender,k=3,2,0.5053763440860215
KNN,No Gender,k=3,3,0.4731182795698925
KNN,No Gender,k=3,4,0.4731182795698925
KNN,No Gender,k=3,5,0.5483870967741935
KNN,No Gender,k=5,1,0.5106382978723404
KNN,No Gender,k=5,2,0.4731182795698925
KNN,No Gender,k=5,3,0.45161290322580644
KNN,No Gender,k=5,4,0.5268817204301075
KNN,No Gender,k=5,5,0.5913978494623656
KNN,No Gender,k=7,1,0.5319148936170213
KNN,No Gender,k=7,2,0.5161290322580645
KNN,No Gender,k=7,3,0.43010752688172044
KNN,No Gender,k=7,4,0.4838709677419355
